Campus,Location,Student Path,Entry Status,HEGIS at Exit,Major at Exit,NAICS,Industry of Employment,# of Students Found 5 Years After Exit,Median Annual Earnings 5 Years After Exit,Average Annual Earnings 5 Years After Exit
70,Northridge,1,FTF + FTT,5072,Management Systems Analysis / Operations Research,52,Finance & Insurance,14,"$50,832","$60,079"
70,Northridge,1,FTF + FTT,5072,Management Systems Analysis / Operations Research,53,Real Estate & Rental & Leasing,,,
70,Northridge,1,FTF + FTT,5072,Management Systems Analysis / Operations Research,54,"Professional, Scientific, & Technical Skills",10,"$52,632","$53,818"
70,Northridge,1,FTF + FTT,5072,Management Systems Analysis / Operations Research,56,Admin & Support & Waste Mgmt & Remediation,9,"$62,371","$62,436"
70,Northridge,1,FTF + FTT,5072,Management Systems Analysis / Operations Research,61,Educational Services,,,
70,Northridge,1,FTF + FTT,5072,Management Systems Analysis / Operations Research,62,Health Care & Social Assistance,5,"$49,835","$47,033"
70,Northridge,1,FTF + FTT,5072,Management Systems Analysis / Operations Research,72,Accommodation & Food Services,,,
70,Northridge,1,FTF + FTT,5072,Management Systems Analysis / Operations Research,92,Government,,,
70,Northridge,1,FTF + FTT,5072,Management Systems Analysis / Operations Research,,Wages - No NAICS Code,5,"$20,214","$17,485"
70,Northridge,1,FTF + FTT,5091,Marketing,11,"Agriculture, Forestry, Fishing, & Hunting",,,
70,Northridge,1,FTF + FTT,5091,Marketing,21,Mining,,,
70,Northridge,1,FTF + FTT,5091,Marketing,22,Utilities,,,
70,Northridge,1,FTF + FTT,5091,Marketing,23,Construction,29,"$42,947","$52,866"
70,Northridge,1,FTF + FTT,5091,Marketing,31-33,Manufacturing,103,"$62,604","$61,993"
70,Northridge,1,FTF + FTT,5091,Marketing,42,Wholesale Trade,155,"$56,057","$65,247"
70,Northridge,1,FTF + FTT,5091,Marketing,44-45,Retail Trade,165,"$53,936","$53,648"
70,Northridge,1,FTF + FTT,5091,Marketing,48-49,Transportation & Warehousing,21,"$50,966","$57,292"
70,Northridge,1,FTF + FTT,5091,Marketing,51,Information,177,"$57,724","$63,771"
70,Northridge,1,FTF + FTT,5091,Marketing,52,Finance & Insurance,253,"$56,388","$59,373"
70,Northridge,1,FTF + FTT,5091,Marketing,53,Real Estate & Rental & Leasing,85,"$53,046","$53,760"
70,Northridge,1,FTF + FTT,5091,Marketing,54,"Professional, Scientific, & Technical Skills",265,"$55,712","$58,716"
70,Northridge,1,FTF + FTT,5091,Marketing,55,Management of Companies & Enterprises,,,
70,Northridge,1,FTF + FTT,5091,Marketing,56,Admin & Support & Waste Mgmt & Remediation,112,"$46,714","$48,310"
70,Northridge,1,FTF + FTT,5091,Marketing,61,Educational Services,54,"$45,249","$47,955"
70,Northridge,1,FTF + FTT,5091,Marketing,62,Health Care & Social Assistance,74,"$31,903","$36,308"
70,Northridge,1,FTF + FTT,5091,Marketing,71,"Arts, Entertainment, & Recreation",34,"$45,812","$45,887"
70,Northridge,1,FTF + FTT,5091,Marketing,72,Accommodation & Food Services,69,"$31,948","$34,191"
70,Northridge,1,FTF + FTT,5091,Marketing,81,Other Services,30,"$46,011","$47,277"
70,Northridge,1,FTF + FTT,5091,Marketing,99,Non-Classified,,,
70,Northridge,1,FTF + FTT,5091,Marketing,92,Government,38,"$53,448","$61,458"
70,Northridge,1,FTF + FTT,5091,Marketing,,Wages - No NAICS Code,92,"$8,322","$18,142"
70,Northridge,1,FTF + FTT,5111,Real Estate,11,"Agriculture, Forestry, Fishing, & Hunting",,,
70,Northridge,1,FTF + FTT,5111,Real Estate,21,Mining,,,
70,Northridge,1,FTF + FTT,5111,Real Estate,22,Utilities,,,
70,Northridge,1,FTF + FTT,5111,Real Estate,23,Construction,8,"$43,024","$44,096"
70,Northridge,1,FTF + FTT,5111,Real Estate,31-33,Manufacturing,8,"$67,431","$69,900"
70,Northridge,1,FTF + FTT,5111,Real Estate,42,Wholesale Trade,7,"$69,578","$57,204"
70,Northridge,1,FTF + FTT,5111,Real Estate,44-45,Retail Trade,17,"$51,933","$61,542"
70,Northridge,1,FTF + FTT,5111,Real Estate,51,Information,12,"$46,517","$49,329"
70,Northridge,1,FTF + FTT,5111,Real Estate,52,Finance & Insurance,55,"$53,153","$63,993"
70,Northridge,1,FTF + FTT,5111,Real Estate,53,Real Estate & Rental & Leasing,24,"$43,529","$54,363"
70,Northridge,1,FTF + FTT,5111,Real Estate,54,"Professional, Scientific, & Technical Skills",19,"$35,373","$47,483"
70,Northridge,1,FTF + FTT,5111,Real Estate,56,Admin & Support & Waste Mgmt & Remediation,13,"$31,495","$30,901"
70,Northridge,1,FTF + FTT,5111,Real Estate,61,Educational Services,7,"$42,570","$38,158"
70,Northridge,1,FTF + FTT,5111,Real Estate,62,Health Care & Social Assistance,8,"$32,205","$35,486"
70,Northridge,1,FTF + FTT,5111,Real Estate,71,"Arts, Entertainment, & Recreation",,,
70,Northridge,1,FTF + FTT,5111,Real Estate,72,Accommodation & Food Services,11,"$34,352","$29,763"
70,Northridge,1,FTF + FTT,5111,Real Estate,81,Other Services,7,"$50,445","$53,679"
70,Northridge,1,FTF + FTT,5111,Real Estate,92,Government,9,"$59,423","$64,268"
70,Northridge,1,FTF + FTT,5111,Real Estate,,Wages - No NAICS Code,15,"$12,502","$21,469"
70,Northridge,1,FTF + FTT,5131,International Business,23,Construction,,,
70,Northridge,1,FTF + FTT,5131,International Business,31-33,Manufacturing,10,"$57,501","$56,654"
70,Northridge,1,FTF + FTT,5131,International Business,42,Wholesale Trade,8,"$61,659","$63,309"
70,Northridge,1,FTF + FTT,5131,International Business,44-45,Retail Trade,7,"$43,534","$41,799"
70,Northridge,1,FTF + FTT,5131,International Business,48-49,Transportation & Warehousing,,,
70,Northridge,1,FTF + FTT,5131,International Business,51,Information,8,"$61,263","$60,383"
70,Northridge,1,FTF + FTT,5131,International Business,52,Finance & Insurance,31,"$60,619","$64,465"
70,Northridge,1,FTF + FTT,5131,International Business,53,Real Estate & Rental & Leasing,,,
70,Northridge,1,FTF + FTT,5131,International Business,54,"Professional, Scientific, & Technical Skills",18,"$54,513","$55,162"
70,Northridge,1,FTF + FTT,5131,International Business,56,Admin & Support & Waste Mgmt & Remediation,10,"$46,022","$41,208"
70,Northridge,1,FTF + FTT,5131,International Business,61,Educational Services,,,
70,Northridge,1,FTF + FTT,5131,International Business,62,Health Care & Social Assistance,,,
70,Northridge,1,FTF + FTT,5131,International Business,71,"Arts, Entertainment, & Recreation",,,
70,Northridge,1,FTF + FTT,5131,International Business,72,Accommodation & Food Services,,,
70,Northridge,1,FTF + FTT,5131,International Business,81,Other Services,,,
70,Northridge,1,FTF + FTT,5131,International Business,99,Non-Classified,,,
70,Northridge,1,FTF + FTT,5131,International Business,92,Government,9,"$49,211","$50,122"
70,Northridge,1,FTF + FTT,5131,International Business,,Wages - No NAICS Code,5,"$4,785","$4,510"
70,Northridge,1,FTF + FTT,5151,Human Resources/Personnel Management,23,Construction,,,
70,Northridge,1,FTF + FTT,5151,Human Resources/Personnel Management,31-33,Manufacturing,7,"$43,189","$55,086"
70,Northridge,1,FTF + FTT,5151,Human Resources/Personnel Management,42,Wholesale Trade,,,
70,Northridge,1,FTF + FTT,5151,Human Resources/Personnel Management,44-45,Retail Trade,11,"$75,519","$67,743"
70,Northridge,1,FTF + FTT,5151,Human Resources/Personnel Management,48-49,Transportation & Warehousing,,,
70,Northridge,1,FTF + FTT,5151,Human Resources/Personnel Management,51,Information,5,"$57,675","$57,695"
70,Northridge,1,FTF + FTT,5151,Human Resources/Personnel Management,52,Finance & Insurance,32,"$54,187","$52,344"
70,Northridge,1,FTF + FTT,5151,Human Resources/Personnel Management,53,Real Estate & Rental & Leasing,7,"$45,207","$51,056"
70,Northridge,1,FTF + FTT,5151,Human Resources/Personnel Management,54,"Professional, Scientific, & Technical Skills",8,"$66,754","$62,435"
