guid,entry_status,major,in_school_earning,fin_aid_0,fin_aid_3000,fin_aid_10000,,,,,Fin Aid $0,"Fin Aid $3,000","Fin Aid $10,000"
047bc3ba-b078-4eb7-bfb7-4a1f4ec06dd8,FTT,Business Administration,0,7.534904837,9.48460496,15.3997717,,,,,0.07534904837,0.0948460496,0.153997717
249cd3f2-92e5-4c89-a811-89a41f0a4b13,FTT,Business Administration,4500,10.56460318,13.00239544,20.92624159,,,,,0.1056460318,0.1300239544,0.2092624159
4751d9a1-fa23-4410-ad02-95be01874a2f,FTT,Business Administration,10500,15.92859847,19.53164153,32.36117037,,,,,0.1592859847,0.1953164153,0.3236117037
134c7561-450b-42d0-8465-e356eaf3f8f8,FTT,Business Economics,0,6.855036533,8.663606743,14.06113821,,,,,0.06855036533,0.08663606743,0.1406113821
4ab196dc-a997-48b9-a6c6-4891c8b1674a,FTT,Business Economics,4500,9.657992633,11.88633677,19.04198934,,,,,0.09657992633,0.1188633677,0.1904198934
6c9c7925-48b2-44ba-b8a4-90a650e49fc7,FTT,Business Economics,10500,14.53926912,17.78743389,29.31961193,,,,,0.1453926912,0.1778743389,0.2931961193
f0d47477-de92-43ed-9c01-2fb83b0950f3,FTT,Business Education,0,4.476618306,5.694986174,8.830709667,,,,,0.04476618306,0.05694986174,0.08830709667
fd4e532c-08ae-4ea3-aa89-3cb50af8760c,FTT,Business Education,4500,6.327045554,7.651151478,11.18553124,,,,,0.06327045554,0.07651151478,0.1118553124
05338534-aea8-4304-8896-fbed70436d0c,FTT,Business Education,10500,9.076469548,10.63218013,14.97746997,,,,,0.09076469548,0.1063218013,0.1497746997
b9c51ff1-adb1-4ecc-850b-e200a1eb45b0,FTT,Business Law,0,10.33459225,13.39861616,24.18359856,,,,,0.1033459225,0.1339861616,0.2418359856
1449f046-d599-43d5-8437-feb4cce7fa47,FTT,Business Law,4500,15.21483,19.59200043,35.37114361,,,,,0.1521483,0.1959200043,0.3537114361
544940fb-8025-4dd7-892c-403c1b1ee307,FTT,Business Law,10500,25.22389118,32.49062793,60.78619555,,,,,0.2522389118,0.3249062793,0.6078619555
d1e6586e-22e0-4b66-911a-315fc8b3b2bf,FTT,Cell and Molecular Biology,0,12.86118311,16.44807795,29.96394148,,,,,0.1286118311,0.1644807795,0.2996394148
7178989e-4eff-4c03-b134-4feb9e09e3c4,FTT,Cell and Molecular Biology,4500,18.60030046,23.94024721,48.59901519,,,,,0.1860030046,0.2394024721,0.4859901519
6a7ef1c4-beb8-49b2-ba42-0a3773533f4f,FTT,Cell and Molecular Biology,10500,31.41844232,43.01204851,139.2903321,,,,,0.3141844232,0.4301204851,1.392903321
f0314f9d-eb1f-47bd-9234-1d4809dd7cba,FTT,Chemical Engineering,0,20.31862189,23.72818395,34.19036969,,,,,0.2031862189,0.2372818395,0.3419036969
c90b55e5-233b-4fa7-ad58-f524f136654e,FTT,Chemical Engineering,4500,25.62836806,29.93420298,44.18268981,,,,,0.2562836806,0.2993420298,0.4418268981
cca5a77f-c228-4ec7-968c-26f761cfc431,FTT,Chemical Engineering,10500,35.13336031,41.6254099,66.98662893,,,,,0.3513336031,0.416254099,0.6698662893
5d947776-1579-4b82-b8ae-22dc4a4f7e9c,FTT,Chemistry,0,8.703109126,11.07078604,19.04276577,,,,,0.08703109126,0.1107078604,0.1904276577
b5a155c8-c891-486e-84de-170e04454e39,FTT,Chemistry,4500,12.43254978,15.65409318,27.83730484,,,,,0.1243254978,0.1565409318,0.2783730484
b3bc35bd-951f-4f19-9d7c-2fbafaff3e59,FTT,Chemistry,10500,19.82216523,25.47319573,53.13018677,,,,,0.1982216523,0.2547319573,0.5313018677
68a68b24-915f-4a26-864b-83aa86a6b935,FTT,Child Development,0,8.274694455,10.6601764,18.86428961,,,,,0.08274694455,0.106601764,0.1886428961
99c6d66b-8a82-4cf0-9cce-126820e6e5ee,FTT,Child Development,4500,12.04303835,15.34689419,28.08514796,,,,,0.1204303835,0.1534689419,0.2808514796
bfc3a6c9-39dc-4d35-8b1c-2573ae3e0348,FTT,Child Development,10500,19.67787078,25.60275276,54.10260487,,,,,0.1967787078,0.2560275276,0.5410260487
e8efac67-9d61-42e5-95ad-fe77a70e13b5,FTT,Chinese,0,4.373382896,5.680017329,9.256920085,,,,,0.04373382896,0.05680017329,0.09256920085
b23565e2-be6e-416a-a25b-1705e369c195,FTT,Chinese,4500,6.37278059,7.86613457,12.27477041,,,,,0.0637278059,0.0786613457,0.1227477041
edf8b992-f1c7-451f-bad1-f83e69e73e4b,FTT,Chinese,10500,9.555376247,11.53031283,18.29075384,,,,,0.09555376247,0.1153031283,0.1829075384
24ab9551-6737-457b-8e84-727cb6a5fd70,FTT,Cinema/Film,0,7.347622523,9.461181646,16.5261033,,,,,0.07347622523,0.09461181646,0.165261033
71f55af3-9e60-4ec2-97c5-ae8173e80db4,FTT,Cinema/Film,4500,10.66902359,13.51854503,24.50533532,,,,,0.1066902359,0.1351854503,0.2450533532
7f3ca4f9-b950-4a6e-a776-19a3df05bdaa,FTT,Cinema/Film,10500,17.2216789,22.32919989,48.88671944,,,,,0.172216789,0.2232919989,0.4888671944
559acc4e-1e45-4f14-966f-b40f011cf16f,FTT,City and Regional Planning,0,12.24110731,14.71937118,22.18019881,,,,,0.1224110731,0.1471937118,0.2218019881
e83744c8-e604-4a86-a50d-5aee86a5c4ff,FTT,City and Regional Planning,4500,16.0900844,19.17012209,29.12272787,,,,,0.160900844,0.1917012209,0.2912272787
38f538db-29f5-41b1-acd2-861ef89c4ed9,FTT,City and Regional Planning,10500,22.8426084,27.36131905,44.49791716,,,,,0.228426084,0.2736131905,0.4449791716
311734e9-685e-4213-88be-11d4fcd96917,FTT,Civil Engineering,0,15.61591107,18.59453746,27.66726732,,,,,0.1561591107,0.1859453746,0.2766726732
770baa76-9309-462e-9321-c11d36b6e966,FTT,Civil Engineering,4500,20.25127519,23.99240191,36.18347122,,,,,0.2025127519,0.2399240191,0.3618347122
6883006a-cfcb-46cf-add1-1e9b551e1c9e,FTT,Civil Engineering,10500,28.4778723,34.0197542,55.00158967,,,,,0.284778723,0.340197542,0.5500158967
e7dff555-78b2-4e9f-940b-b0299150ce59,FTT,Classics,0,5.233375002,6.696926653,10.84098322,,,,,0.05233375002,0.06696926653,0.1084098322
c4d6c9cc-18a4-44d6-85c6-5d6ea4b7b3ae,FTT,Classics,4500,7.483396893,9.204844718,14.49904694,,,,,0.07483396893,0.09204844718,0.1449904694
727ec7c6-9019-42f4-89ff-2928ff8a1582,FTT,Classics,10500,11.19625091,13.5834009,22.16563635,,,,,0.1119625091,0.135834009,0.2216563635
b9e86c7f-0b8a-48dc-9fcb-046ece019d9c,FTT,Communications,0,7.298086577,9.389490561,16.28209323,,,,,0.07298086577,0.09389490561,0.1628209323
c4199f0b-7793-4a8a-b85b-debac10ba0bf,FTT,Communications,4500,10.58032889,13.37217423,23.72161621,,,,,0.1058032889,0.1337217423,0.2372161621
8ab608b5-bfbc-4bb8-8a53-8e5fa12c0c27,FTT,Communications,10500,16.94830158,21.74130537,43.1288384,,,,,0.1694830158,0.2174130537,0.431288384
9e212d2e-7c33-447a-8dad-cf37a81cdcb1,FTT,Communicative Disorders,0,9.321180003,11.82677503,20.18670647,,,,,0.09321180003,0.1182677503,0.2018670647
3280f6b3-890a-46f1-aa9f-6828ce81c7a9,FTT,Communicative Disorders,4500,13.26684511,16.65804062,29.12118128,,,,,0.1326684511,0.1665804062,0.2912118128
f32131d0-cd26-4d32-81f8-4cc597d5b77c,FTT,Communicative Disorders,10500,20.99162927,26.750543,53.236832,,,,,0.2099162927,0.26750543,0.53236832
99177a4e-0f4d-48fb-ba48-25dedb3ce8b3,FTT,Comparative Literature,0,8.868289415,11.51763449,21.28569595,,,,,0.08868289415,0.1151763449,0.2128569595
c2eeff9b-9783-4d8b-b072-fee187ab70e0,FTT,Comparative Literature,4500,13.09341657,16.97912859,33.12844512,,,,,0.1309341657,0.1697912859,0.3312844512
