guid	entry_status	major	in_school_earning	fin_aid_0	fin_aid_3000	fin_aid_10000
d0f1721a-0757-4a6f-87a7-43f37747259e	FTF	Environmental Engineering Technology	10500	20.23060184	27.21275427	82.28572458
56717743-2688-4485-8131-8872a21dcc6b	FTF	Environmental Studies	0			
b1c3b686-4348-4013-bea6-f1f8e65d2134	FTF	Environmental Studies	4500			
6d668c14-1c8d-4567-b901-6c24d712a303	FTF	Environmental Studies	10500			
434d5a94-7898-4aee-b619-e6cb1688f9e0	FTF	Ethnic Studies	0	3.72325786	4.7912245	7.678375515
9910e2f1-cf9b-42f5-aab8-be8e8923d7b9	FTF	Ethnic Studies	4500	5.35465658	6.562184569	10.0789475
bd0a5d9f-0601-4a65-b8ed-ccf54b466789	FTF	Ethnic Studies	10500	7.916941506	9.488712928	14.34263108
333a7a9d-11b5-43fe-8522-94380bc30e20	FTF	European Studies	0	8.779865926	10.82782812	18.05361889
72d2e685-2a58-499e-b6f3-d0dbbc5245bc	FTF	European Studies	4500	12.01585442	14.88408294	27.91000209
6bd7bdf0-cd6d-4e3c-be06-1f6650ffed49	FTF	European Studies	10500	18.81520307	24.91317685	69.12137423
cd6eaaa9-c762-493e-b486-210addf13921	FTF	Exercise Science	0	9.244694613	11.43283945	19.37439569
588286ae-60b6-4456-97d8-958ad214b8cb	FTF	Exercise Science	4500	12.71507241	15.84944115	30.73098727
a80023e3-3fae-4d4f-90e4-0e3ff1fbada7	FTF	Exercise Science	10500	20.23060184	27.21275427	82.28572458
6af56fb9-2987-4940-8156-f22c6480a3ca	FTF	Family and Consumer Sciences	0	6.090608747	7.831558202	14.0580031
f4a2ffbb-61f9-4c04-a4f9-995a069d920f	FTF	Family and Consumer Sciences	4500	8.839403226	11.28838893	23.35403758
0d7c659e-99c6-437c-86b3-9405891616fb	FTF	Family and Consumer Sciences	10500	14.73774853	20.41770227	83.74022137
09bf6481-031b-4c6c-aade-a4493616f0f8	FTF	Finance	0	10.71778294	12.94042782	20.49040147
c187599a-aa37-4558-9d29-d29568d262ff	FTF	Finance	4500	14.2183699	17.2510312	29.59818182
0652d046-7e1a-40da-8cf6-e6142563343d	FTF	Finance	10500	21.24856316	26.99968725	72.63675348
b982f172-d9e4-49ff-bdcc-ea4f2ee6d7e8	FTF	Fire Protection Administration	0	5.985757709	7.417177856	11.78723271
cf0d5195-9c77-441b-9b7d-3f0c05892ad2	FTF	Fire Protection Administration	4500	8.20637295	9.993440624	16.30485435
0763d5c9-ee1a-4ef5-b918-09513c65fbf9	FTF	Fire Protection Administration	10500	12.1917804	15.08985594	29.92965664
fd9cd424-d304-4332-b46a-9c044562073d	FTF	Food Science and Technology	0			
22cdf9cc-e3c5-4bb8-b0af-f16fd3c5f70d	FTF	Food Science and Technology	4500			
9599f9b8-ed50-413e-bde6-9598018cd770	FTF	Food Science and Technology	10500			
6342eee8-0c1b-4e23-bf69-176b819d7a3e	FTF	French	0	2.399622546	3.389525808	6.048047997
364761e4-399b-46e8-ad06-9921e7372a65	FTF	French	4500	3.909694866	5.021416752	8.271946565
2b79cd9a-e466-4c1c-87cd-a05fbe8ee817	FTF	French	10500	6.267704969	7.721320227	12.94046897
faeff049-8729-4e0c-90db-74a4bd4c1f4c	FTF	Geography	0	5.417548931	6.821259548	11.06353875
4056ce8e-0722-4a68-b79f-6238facbd310	FTF	Geography	4500	7.59263402	9.331592775	15.3301203
d462303b-7b10-438d-929f-fd375720f5b2	FTF	Geography	10500	11.45180229	14.19983474	27.61172917
180f82a1-fc1a-492f-8e0c-d101dfed525f	FTF	Geology	0			
5a4a7633-8781-4922-85dc-5c0971dd2a8c	FTF	Geology	4500			
79135438-0dbc-424f-bf7c-878a1e7b9150	FTF	Geology	10500			
6697eec3-3498-48f9-9699-b71e208fdb11	FTF	German	0	6.501443266	8.036455523	12.92799536
f076151f-6b08-4673-a979-ae0bc429a7ed	FTF	German	4500	8.89419937	10.87389595	18.59533997
4c5c0ae7-9d87-429f-9ec9-e6a95802056e	FTF	German	10500	13.40287209	16.97648104	38.34003894
