Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
70,1,FTF + FTT,05041,05041,Finance,Utilities,7,84927,86547,7,101391,106144
70,1,FTF + FTT,05041,05041,Finance,Construction,38,46436,49928,14,52596,68324
70,1,FTF + FTT,05041,05041,Finance,Manufacturing,120,70122,74142,55,86280,83055
70,1,FTF + FTT,05041,05041,Finance,Wholesale Trade,94,50744,61342,58,57922,103473
70,1,FTF + FTT,05041,05041,Finance,Retail Trade,116,48990,53519,43,59892,64982
70,1,FTF + FTT,05041,05041,Finance,Transportation & Warehousing,41,53072,53150,7,50633,67885
70,1,FTF + FTT,05041,05041,Finance,Information,187,67361,68723,82,80974,84912
70,1,FTF + FTT,05041,05041,Finance,Finance & Insurance,748,63569,72355,338,81139,93292
70,1,FTF + FTT,05041,05041,Finance,Real Estate & Rental & Leasing,109,56928,60032,52,79468,83366
70,1,FTF + FTT,05041,05041,Finance,"Professional, Scientific, & Technical Skills",275,57965,60323,127,79183,90571
70,1,FTF + FTT,05041,05041,Finance,Management of Companies & Enterprises,13,71139,94241,7,49091,59622
70,1,FTF + FTT,05041,05041,Finance,Admin & Support & Waste Mgmt & Remediation,140,44992,48423,50,55399,86505
70,1,FTF + FTT,05041,05041,Finance,Educational Services,65,49639,53980,41,68737,67949
70,1,FTF + FTT,05041,05041,Finance,Health Care & Social Assistance,128,35344,43224,62,39626,55324
70,1,FTF + FTT,05041,05041,Finance,"Arts, Entertainment, & Recreation",30,48502,47633,16,48509,52267
70,1,FTF + FTT,05041,05041,Finance,Accommodation & Food Services,40,39063,41510,16,39748,47157
70,1,FTF + FTT,05041,05041,Finance,Other Services,43,47270,47614,14,68927,65131
70,1,FTF + FTT,05041,05041,Finance,Non-Classified,6,57113,50576,,,
70,1,FTF + FTT,05041,05041,Finance,Government,88,60288,62782,61,83211,81778
70,1,FTF + FTT,05041,05041,Finance,Wages - No NAICS Code,100,10689,24500,45,23183,39819
70,1,FTF + FTT,05061,05061,Management,"Agriculture, Forestry, Fishing, & Hunting",10,45735,44198,,,
70,1,FTF + FTT,05061,05061,Management,Mining,,,,,,
70,1,FTF + FTT,05061,05061,Management,Utilities,9,91916,87745,7,91692,85811
70,1,FTF + FTT,05061,05061,Management,Construction,37,48723,54721,15,73172,75045
70,1,FTF + FTT,05061,05061,Management,Manufacturing,96,61428,68255,45,81822,86103
70,1,FTF + FTT,05061,05061,Management,Wholesale Trade,84,55736,69712,46,64760,78831
70,1,FTF + FTT,05061,05061,Management,Retail Trade,157,52063,54020,35,47769,57799
70,1,FTF + FTT,05061,05061,Management,Transportation & Warehousing,23,47868,53543,8,77712,96494
70,1,FTF + FTT,05061,05061,Management,Information,106,56928,60983,30,75943,80213
70,1,FTF + FTT,05061,05061,Management,Finance & Insurance,337,58011,64728,128,74826,84806
70,1,FTF + FTT,05061,05061,Management,Real Estate & Rental & Leasing,95,53345,55464,30,84534,77786
70,1,FTF + FTT,05061,05061,Management,"Professional, Scientific, & Technical Skills",145,54171,64097,43,69158,85475
70,1,FTF + FTT,05061,05061,Management,Management of Companies & Enterprises,10,52541,50094,,,
70,1,FTF + FTT,05061,05061,Management,Admin & Support & Waste Mgmt & Remediation,102,50794,54859,35,80076,72895
70,1,FTF + FTT,05061,05061,Management,Educational Services,54,43301,40954,19,45932,58429
70,1,FTF + FTT,05061,05061,Management,Health Care & Social Assistance,104,40678,45770,40,60883,66683
70,1,FTF + FTT,05061,05061,Management,"Arts, Entertainment, & Recreation",31,35750,35550,7,48751,50847
70,1,FTF + FTT,05061,05061,Management,Accommodation & Food Services,76,50107,50276,19,50848,54338
70,1,FTF + FTT,05061,05061,Management,Other Services,34,49136,47110,16,57089,102656
70,1,FTF + FTT,05061,05061,Management,Non-Classified,7,12707,30926,,,
70,1,FTF + FTT,05061,05061,Management,Government,67,62186,63778,39,77414,84096
