Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
55,1,FTF + FTT,08231 + 08232,08232,Child Development,Educational Services,15,26285,34406,,,
55,1,FTF + FTT,08231 + 08232,08232,Child Development,Health Care & Social Assistance,22,31955,32949,,,
55,1,FTF + FTT,08231 + 08232,08232,Child Development,"Arts, Entertainment, & Recreation",,,,,,
55,1,FTF + FTT,08231 + 08232,08232,Child Development,Other Services,,,,,,
55,1,FTF + FTT,08231 + 08232,08232,Child Development,Government,,,,,,
55,1,FTF + FTT,08231 + 08232,08232,Child Development,Wages - No NAICS Code,,,,,,
55,1,FTF + FTT,08351,08351,Kinesiology,Construction,,,,,,
55,1,FTF + FTT,08351,08351,Kinesiology,Manufacturing,7,43072,48373,,,
55,1,FTF + FTT,08351,08351,Kinesiology,Wholesale Trade,,,,,,
55,1,FTF + FTT,08351,08351,Kinesiology,Retail Trade,13,28617,38584,5,45650,58848
55,1,FTF + FTT,08351,08351,Kinesiology,Transportation & Warehousing,12,42709,46657,,,
55,1,FTF + FTT,08351,08351,Kinesiology,Information,,,,,,
55,1,FTF + FTT,08351,08351,Kinesiology,Finance & Insurance,7,51480,59060,,,
55,1,FTF + FTT,08351,08351,Kinesiology,Real Estate & Rental & Leasing,5,15987,12340,,,
55,1,FTF + FTT,08351,08351,Kinesiology,"Professional, Scientific, & Technical Skills",5,50058,51181,,,
55,1,FTF + FTT,08351,08351,Kinesiology,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,1,FTF + FTT,08351,08351,Kinesiology,Educational Services,108,55345,49474,54,70878,63782
55,1,FTF + FTT,08351,08351,Kinesiology,Health Care & Social Assistance,30,30403,34779,14,37361,42465
55,1,FTF + FTT,08351,08351,Kinesiology,"Arts, Entertainment, & Recreation",9,28805,31680,,,
55,1,FTF + FTT,08351,08351,Kinesiology,Accommodation & Food Services,13,22190,22494,,,
55,1,FTF + FTT,08351,08351,Kinesiology,Other Services,6,38469,45381,,,
55,1,FTF + FTT,08351,08351,Kinesiology,Government,24,53052,59301,13,76731,67269
55,1,FTF + FTT,08351,08351,Kinesiology,Wages - No NAICS Code,8,9794,24472,7,12762,12759
55,1,FTF + FTT,10021 + 10022,10022,Art,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
55,1,FTF + FTT,10021 + 10022,10022,Art,Manufacturing,7,49378,46905,,,
55,1,FTF + FTT,10021 + 10022,10022,Art,Wholesale Trade,9,51343,45837,,,
55,1,FTF + FTT,10021 + 10022,10022,Art,Retail Trade,13,37791,38921,,,
55,1,FTF + FTT,10021 + 10022,10022,Art,Transportation & Warehousing,5,36554,35830,,,
55,1,FTF + FTT,10021 + 10022,10022,Art,Information,5,35316,33278,,,
55,1,FTF + FTT,10021 + 10022,10022,Art,Finance & Insurance,7,40856,43680,,,
