Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
73,1,FTF + FTT,22051,22051,History,Educational Services,26,21401,30971,8,21607,35961
73,1,FTF + FTT,22051,22051,History,Health Care & Social Assistance,,,,,,
73,1,FTF + FTT,22051,22051,History,"Arts, Entertainment, & Recreation",,,,,,
73,1,FTF + FTT,22051,22051,History,Accommodation & Food Services,7,18521,16866,,,
73,1,FTF + FTT,22051,22051,History,Other Services,,,,,,
73,1,FTF + FTT,22051,22051,History,Government,7,35594,33134,,,
73,1,FTF + FTT,22051,22051,History,Wages - No NAICS Code,12,9347,17020,,,
73,1,FTF + FTT,22071,22071,Political Science,Construction,,,,,,
73,1,FTF + FTT,22071,22071,Political Science,Wholesale Trade,5,60513,46998,,,
73,1,FTF + FTT,22071,22071,Political Science,Retail Trade,,,,,,
73,1,FTF + FTT,22071,22071,Political Science,Information,,,,,,
73,1,FTF + FTT,22071,22071,Political Science,Finance & Insurance,,,,,,
73,1,FTF + FTT,22071,22071,Political Science,Real Estate & Rental & Leasing,,,,,,
73,1,FTF + FTT,22071,22071,Political Science,"Professional, Scientific, & Technical Skills",,,,,,
73,1,FTF + FTT,22071,22071,Political Science,Admin & Support & Waste Mgmt & Remediation,,,,,,
73,1,FTF + FTT,22071,22071,Political Science,Educational Services,5,42293,30770,,,
73,1,FTF + FTT,22071,22071,Political Science,Health Care & Social Assistance,,,,,,
73,1,FTF + FTT,22071,22071,Political Science,"Arts, Entertainment, & Recreation",,,,,,
73,1,FTF + FTT,22071,22071,Political Science,Accommodation & Food Services,,,,,,
73,1,FTF + FTT,22071,22071,Political Science,Other Services,,,,,,
73,1,FTF + FTT,22071,22071,Political Science,Government,,,,,,
73,1,FTF + FTT,22071,22071,Political Science,Wages - No NAICS Code,,,,,,
73,1,FTF + FTT,22081,22081,Sociology,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
73,1,FTF + FTT,22081,22081,Sociology,Construction,,,,,,
73,1,FTF + FTT,22081,22081,Sociology,Manufacturing,6,47005,44029,,,
73,1,FTF + FTT,22081,22081,Sociology,Wholesale Trade,6,36990,41860,,,
73,1,FTF + FTT,22081,22081,Sociology,Retail Trade,14,33408,31053,,,
