Campus,Location,Student Path,Entry Stat,HEGIS at ExitOLD,HEGIS at Exit,Major,industry,# of Students Found,Median Annual Earnings,Average Annual Earnings,# of Students Found,Median Annual Earnings,Average Annual Earnings
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Accommodation & Food Services,7,"$28,157 ","$27,618 ",,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Non-Classified,,,,,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Government,8,"$33,456 ","$31,586 ",,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,No Wages,237,,,345,,
55,Dominguez Hills,1,FTF + FTT,6991,6991,Multimedia,Wages - No NAICS Code,12,"$16,898 ","$25,941 ",5,"$4,098 ","$22,174 "
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Utilities,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Manufacturing,21,"$81,648 ","$84,932 ",15,"$111,758 ","$104,187 "
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Wholesale Trade,8,"$45,453 ","$50,683 ",6,"$67,950 ","$64,220 "
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Retail Trade,8,"$47,678 ","$54,117 ",,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Information,5,"$75,981 ","$77,053 ",,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,"Professional, Scientific, & Technical Skills",12,"$55,229 ","$63,912 ",11,"$72,984 ","$79,519 "
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Management of Companies & Enterprises,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Admin & Support & Waste Mgmt & Remediation,8,"$41,450 ","$47,117 ",,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Educational Services,7,"$55,279 ","$51,255 ",5,"$59,639 ","$57,784 "
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Health Care & Social Assistance,5,"$80,087 ","$78,890 ",,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Government,5,"$82,744 ","$88,525 ",,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,No Wages,224,,,258,,
55,Dominguez Hills,1,FTF + FTT,07011 + 07012 + 07028,7028,Computer Science and Information Technology,Wages - No NAICS Code,6,"$17,089 ","$29,362 ",,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,8232,Child Development,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,8232,Child Development,Educational Services,15,"$26,285 ","$34,406 ",,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,8232,Child Development,Health Care & Social Assistance,22,"$31,955 ","$32,949 ",,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,8232,Child Development,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,8232,Child Development,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,8232,Child Development,Government,,,,,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,8232,Child Development,No Wages,301,,,345,,
55,Dominguez Hills,1,FTF + FTT,08231 + 08232,8232,Child Development,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Manufacturing,7,"$43,072 ","$48,373 ",,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Retail Trade,13,"$28,617 ","$38,584 ",5,"$45,650 ","$58,848 "
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Transportation & Warehousing,12,"$42,709 ","$46,657 ",,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Finance & Insurance,7,"$51,480 ","$59,060 ",,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Real Estate & Rental & Leasing,5,"$15,987 ","$12,340 ",,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,"Professional, Scientific, & Technical Skills",5,"$50,058 ","$51,181 ",,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Educational Services,108,"$55,345 ","$49,474 ",54,"$70,878 ","$63,782 "
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Health Care & Social Assistance,30,"$30,403 ","$34,779 ",14,"$37,361 ","$42,465 "
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,"Arts, Entertainment, & Recreation",9,"$28,805 ","$31,680 ",,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Accommodation & Food Services,13,"$22,190 ","$22,494 ",,,
55,Dominguez Hills,1,FTF + FTT,8351,8351,Kinesiology,Other Services,6,"$38,469 ","$45,381 ",,,
