	average_annual_earnings_10_years_after_exit	average_annual_earnings_5_years_after_exit	campus	entry_status	hegis_at_exit	industry	location	major	median_annual_earnings_10_years_after_exit	median_annual_earnings_5_years_after_exit	naics	number_of_students_found_10_years_after_exit	number_of_students_found_5_years_after_exit	student_path
128			0	FTF + FTT	2021	Utilities		Architecture			2			1
129	73413.0	66165.0	0	FTF + FTT	2021	Construction		Architecture	62732.0	65373.0	3	7	17	1
130			0	FTF + FTT	2021	Manufacturing		Architecture			4			1
131		49818.0	0	FTF + FTT	2021	Wholesale Trade		Architecture		55942.0	5		5	1
132		44893.0	0	FTF + FTT	2021	Retail Trade		Architecture		45661.0	6		10	1
133			0	FTF + FTT	2021	Transportation & Warehousing		Architecture			7			1
134			0	FTF + FTT	2021	Information		Architecture			8			1
135			0	FTF + FTT	2021	Finance & Insurance		Architecture			9			1
136			0	FTF + FTT	2021	Real Estate & Rental & Leasing		Architecture			10			1
137	72464.0	63012.0	0	FTF + FTT	2021	Professional, Scientific, & Technical Skills		Architecture	69476.0	62429.0	11	119	269	1
138		26395.0	0	FTF + FTT	2021	Admin & Support & Waste Mgmt & Remediation		Architecture		27535.0	13		5	1
139		44667.0	0	FTF + FTT	2021	Educational Services		Architecture		48601.0	14		8	1
140			0	FTF + FTT	2021	Health Care & Social Assistance		Architecture			15			1
141			0	FTF + FTT	2021	Arts, Entertainment, & Recreation		Architecture			16			1
142			0	FTF + FTT	2021	Accommodation & Food Services		Architecture			17			1
143			0	FTF + FTT	2021	Other Services		Architecture			18			1
144		79253.0	0	FTF + FTT	2021	Government		Architecture		79593.0	19		6	1
145			0	FTF + FTT	2021	No Wages		Architecture			20	599	409	1
146	17772.0	12295.0	0	FTF + FTT	2021	Wages - No NAICS Code		Architecture	11231.0	5700.0	21	10	12	1
147			0	FTF + FTT	2031	Construction		Interior Design			3			1
148		49380.0	0	FTF + FTT	2031	Professional, Scientific, & Technical Skills		Interior Design		52140.0	11		6	1
149			0	FTF + FTT	2031	Admin & Support & Waste Mgmt & Remediation		Interior Design			13			1
150			0	FTF + FTT	2031	Accommodation & Food Services		Interior Design			17			1
151			0	FTF + FTT	2031	No Wages		Interior Design			20	124	114	1
152			0	FTF + FTT	2041	Agriculture, Forestry, Fishing, & Hunting		Landscape Architecture			1			1
153			0	FTF + FTT	2041	Utilities		Landscape Architecture			2			1
154		48541.0	0	FTF + FTT	2041	Construction		Landscape Architecture		46757.0	3		11	1
155		48162.0	0	FTF + FTT	2041	Manufacturing		Landscape Architecture		41795.0	4		10	1
156		44877.0	0	FTF + FTT	2041	Wholesale Trade		Landscape Architecture		52144.0	5		7	1
157		32527.0	0	FTF + FTT	2041	Retail Trade		Landscape Architecture		31389.0	6		17	1
158			0	FTF + FTT	2041	Transportation & Warehousing		Landscape Architecture			7			1
159			0	FTF + FTT	2041	Information		Landscape Architecture			8			1
160			0	FTF + FTT	2041	Finance & Insurance		Landscape Architecture			9			1
161			0	FTF + FTT	2041	Real Estate & Rental & Leasing		Landscape Architecture			10			1
162	61818.0	55878.0	0	FTF + FTT	2041	Professional, Scientific, & Technical Skills		Landscape Architecture	65880.0	56401.0	11	51	129	1
163	61345.0	48825.0	0	FTF + FTT	2041	Admin & Support & Waste Mgmt & Remediation		Landscape Architecture	51788.0	51110.0	13	13	39	1
164		18452.0	0	FTF + FTT	2041	Educational Services		Landscape Architecture		6186.0	14		7	1
165		55265.0	0	FTF + FTT	2041	Health Care & Social Assistance		Landscape Architecture		38733.0	15		5	1
166		33607.0	0	FTF + FTT	2041	Arts, Entertainment, & Recreation		Landscape Architecture		27811.0	16		7	1
167		26551.0	0	FTF + FTT	2041	Accommodation & Food Services		Landscape Architecture		16622.0	17		6	1
168			0	FTF + FTT	2041	Other Services		Landscape Architecture			18			1
169			0	FTF + FTT	2041	Non-Classified		Landscape Architecture			22			1
170	59300.0	57702.0	0	FTF + FTT	2041	Government		Landscape Architecture	55037.0	63593.0	19	8	8	1
171			0	FTF + FTT	2041	No Wages		Landscape Architecture			20	510	319	1
172	91099.0	42082.0	0	FTF + FTT	2041	Wages - No NAICS Code		Landscape Architecture	94137.0	18756.0	21	8	26	1
173			0	FTF + FTT	2061	Agriculture, Forestry, Fishing, & Hunting		City and Regional Planning			1			1
174			0	FTF + FTT	2061	Utilities		City and Regional Planning			2			1
175	85263.0	71213.0	0	FTF + FTT	2061	Construction		City and Regional Planning	87184.0	66557.0	3	7	13	1
176			0	FTF + FTT	2061	Manufacturing		City and Regional Planning			4			1
177		36753.0	0	FTF + FTT	2061	Wholesale Trade		City and Regional Planning		34046.0	5		5	1
178		35605.0	0	FTF + FTT	2061	Retail Trade		City and Regional Planning		35248.0	6		5	1
179		57831.0	0	FTF + FTT	2061	Transportation & Warehousing		City and Regional Planning		65627.0	7		9	1
180			0	FTF + FTT	2061	Information		City and Regional Planning			8			1
181			0	FTF + FTT	2061	Finance & Insurance		City and Regional Planning			9			1
182		99282.0	0	FTF + FTT	2061	Real Estate & Rental & Leasing		City and Regional Planning		62809.0	10		5	1
183	79379.0	60545.0	0	FTF + FTT	2061	Professional, Scientific, & Technical Skills		City and Regional Planning	80672.0	61473.0	11	17	56	1
184			0	FTF + FTT	2061	Management of Companies & Enterprises		City and Regional Planning			12			1
185		50588.0	0	FTF + FTT	2061	Admin & Support & Waste Mgmt & Remediation		City and Regional Planning		51463.0	13		7	1
186		35510.0	0	FTF + FTT	2061	Educational Services		City and Regional Planning		46120.0	14		5	1
187			0	FTF + FTT	2061	Health Care & Social Assistance		City and Regional Planning			15			1
188			0	FTF + FTT	2061	Arts, Entertainment, & Recreation		City and Regional Planning			16			1
189		23678.0	0	FTF + FTT	2061	Accommodation & Food Services		City and Regional Planning		25496.0	17		5	1
190			0	FTF + FTT	2061	Other Services		City and Regional Planning			18			1
191			0	FTF + FTT	2061	Non-Classified		City and Regional Planning			22			1
192	85850.0	71595.0	0	FTF + FTT	2061	Government		City and Regional Planning	85819.0	71625.0	19	46	82	1
193			0	FTF + FTT	2061	No Wages		City and Regional Planning			20	385	256	1
194	44052.0	39017.0	0	FTF + FTT	2061	Wages - No NAICS Code		City and Regional Planning	5436.0	17375.0	21	10	14	1
195			0	FTF + FTT	3071	Manufacturing		Asian/East Asian Studies			4			1
196		39940.0	0	FTF + FTT	3071	Wholesale Trade		Asian/East Asian Studies		34051.0	5		5	1
197			0	FTF + FTT	3071	Retail Trade		Asian/East Asian Studies			6			1
198			0	FTF + FTT	3071	Information		Asian/East Asian Studies			8			1
199			0	FTF + FTT	3071	Finance & Insurance		Asian/East Asian Studies			9			1
200			0	FTF + FTT	3071	Professional, Scientific, & Technical Skills		Asian/East Asian Studies			11			1
201			0	FTF + FTT	3071	Admin & Support & Waste Mgmt & Remediation		Asian/East Asian Studies			13			1
202			0	FTF + FTT	3071	Health Care & Social Assistance		Asian/East Asian Studies			15			1
203			0	FTF + FTT	3071	Accommodation & Food Services		Asian/East Asian Studies			17			1
204			0	FTF + FTT	3071	No Wages		Asian/East Asian Studies			20	84	60	1
205			0	FTF + FTT	3071	Wages - No NAICS Code		Asian/East Asian Studies			21			1
206			0	FTF + FTT	3085	Construction		Latin/Central American Studies			3			1
