	average_annual_earnings_10_years_after_exit	average_annual_earnings_5_years_after_exit	campus	entry_status	hegis_at_exit	industry	location	major	median_annual_earnings_10_years_after_exit	median_annual_earnings_5_years_after_exit	naics	number_of_students_found_10_years_after_exit	number_of_students_found_5_years_after_exit	student_path
6741	91852.0	67777.0	70	FTF + FTT	5021	Information	Northridge	Accounting	83998.0	69891.0	8	61	87	1
6742	90020.0	71888.0	70	FTF + FTT	5021	Finance & Insurance	Northridge	Accounting	89316.0	71273.0	9	90	168	1
6743	82607.0	67969.0	70	FTF + FTT	5021	Real Estate & Rental & Leasing	Northridge	Accounting	84899.0	64247.0	10	40	55	1
6744	91763.0	70860.0	70	FTF + FTT	5021	Professional, Scientific, & Technical Skills	Northridge	Accounting	90253.0	73073.0	11	235	589	1
6745	87877.0	63266.0	70	FTF + FTT	5021	Management of Companies & Enterprises	Northridge	Accounting	84781.0	61578.0	12	8	9	1
6746	75299.0	55275.0	70	FTF + FTT	5021	Admin & Support & Waste Mgmt & Remediation	Northridge	Accounting	74135.0	56906.0	13	51	87	1
6747	63342.0	58156.0	70	FTF + FTT	5021	Educational Services	Northridge	Accounting	59060.0	55619.0	14	29	35	1
6748	51904.0	49758.0	70	FTF + FTT	5021	Health Care & Social Assistance	Northridge	Accounting	39954.0	45465.0	15	44	48	1
6749	102490.0	69724.0	70	FTF + FTT	5021	Arts, Entertainment, & Recreation	Northridge	Accounting	77759.0	46897.0	16	6	11	1
6750	36664.0	34202.0	70	FTF + FTT	5021	Accommodation & Food Services	Northridge	Accounting	33678.0	37452.0	17	7	18	1
6751	48986.0	55489.0	70	FTF + FTT	5021	Other Services	Northridge	Accounting	39333.0	59447.0	18	8	22	1
6752			70	FTF + FTT	5021	Non-Classified	Northridge	Accounting			22			1
6753	94714.0	71517.0	70	FTF + FTT	5021	Government	Northridge	Accounting	94851.0	67599.0	19	51	72	1
6754			70	FTF + FTT	5021	No Wages	Northridge	Accounting			20	1,811	1,165	1
6755	62273.0	59337.0	70	FTF + FTT	5021	Wages - No NAICS Code	Northridge	Accounting	45407.0	61763.0	21	57	75	1
6756		32992.0	70	FTF + FTT	5041	Agriculture, Forestry, Fishing, & Hunting	Northridge	Finance		33299.0	1		8	1
6757	106144.0	86547.0	70	FTF + FTT	5041	Utilities	Northridge	Finance	101391.0	84927.0	2	7	7	1
6758	68324.0	49928.0	70	FTF + FTT	5041	Construction	Northridge	Finance	52596.0	46436.0	3	14	38	1
6759	83055.0	74142.0	70	FTF + FTT	5041	Manufacturing	Northridge	Finance	86280.0	70122.0	4	55	120	1
6760	103473.0	61342.0	70	FTF + FTT	5041	Wholesale Trade	Northridge	Finance	57922.0	50744.0	5	58	94	1
6761	64982.0	53519.0	70	FTF + FTT	5041	Retail Trade	Northridge	Finance	59892.0	48990.0	6	43	116	1
6762	67885.0	53150.0	70	FTF + FTT	5041	Transportation & Warehousing	Northridge	Finance	50633.0	53072.0	7	7	41	1
6763	84912.0	68723.0	70	FTF + FTT	5041	Information	Northridge	Finance	80974.0	67361.0	8	82	187	1
6764	93292.0	72355.0	70	FTF + FTT	5041	Finance & Insurance	Northridge	Finance	81139.0	63569.0	9	338	748	1
6765	83366.0	60032.0	70	FTF + FTT	5041	Real Estate & Rental & Leasing	Northridge	Finance	79468.0	56928.0	10	52	109	1
6766	90571.0	60323.0	70	FTF + FTT	5041	Professional, Scientific, & Technical Skills	Northridge	Finance	79183.0	57965.0	11	127	275	1
6767	59622.0	94241.0	70	FTF + FTT	5041	Management of Companies & Enterprises	Northridge	Finance	49091.0	71139.0	12	7	13	1
6768	86505.0	48423.0	70	FTF + FTT	5041	Admin & Support & Waste Mgmt & Remediation	Northridge	Finance	55399.0	44992.0	13	50	140	1
6769	67949.0	53980.0	70	FTF + FTT	5041	Educational Services	Northridge	Finance	68737.0	49639.0	14	41	65	1
6770	55324.0	43224.0	70	FTF + FTT	5041	Health Care & Social Assistance	Northridge	Finance	39626.0	35344.0	15	62	128	1
6771	52267.0	47633.0	70	FTF + FTT	5041	Arts, Entertainment, & Recreation	Northridge	Finance	48509.0	48502.0	16	16	30	1
6772	47157.0	41510.0	70	FTF + FTT	5041	Accommodation & Food Services	Northridge	Finance	39748.0	39063.0	17	16	40	1
6773	65131.0	47614.0	70	FTF + FTT	5041	Other Services	Northridge	Finance	68927.0	47270.0	18	14	43	1
6774		50576.0	70	FTF + FTT	5041	Non-Classified	Northridge	Finance		57113.0	22		6	1
6775	81778.0	62782.0	70	FTF + FTT	5041	Government	Northridge	Finance	83211.0	60288.0	19	61	88	1
6776			70	FTF + FTT	5041	No Wages	Northridge	Finance			20	2,830	1,536	1
6777	39819.0	24500.0	70	FTF + FTT	5041	Wages - No NAICS Code	Northridge	Finance	23183.0	10689.0	21	45	100	1
6778		44198.0	70	FTF + FTT	5061	Agriculture, Forestry, Fishing, & Hunting	Northridge	Management-5061		45735.0	1		10	1
6779			70	FTF + FTT	5061	Mining	Northridge	Management-5061			23			1
6780	85811.0	87745.0	70	FTF + FTT	5061	Utilities	Northridge	Management-5061	91692.0	91916.0	2	7	9	1
6781	75045.0	54721.0	70	FTF + FTT	5061	Construction	Northridge	Management-5061	73172.0	48723.0	3	15	37	1
6782	86103.0	68255.0	70	FTF + FTT	5061	Manufacturing	Northridge	Management-5061	81822.0	61428.0	4	45	96	1
6783	78831.0	69712.0	70	FTF + FTT	5061	Wholesale Trade	Northridge	Management-5061	64760.0	55736.0	5	46	84	1
6784	57799.0	54020.0	70	FTF + FTT	5061	Retail Trade	Northridge	Management-5061	47769.0	52063.0	6	35	157	1
