Campus,Location,Student Path,Entry Stat,HEGIS At Exit,Major,Potential number of Students,Potential number of Students For Each Year Out of School,_25th Percentile Earnings,_50th Percentile Earnings,_75th Percentile Earnings,Average Earnings,Number of Students Found,Year
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",400,"$23,293","$39,523","$53,893","$41,167",309,6
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",322,"$23,050","$42,327","$57,858","$43,934",238,7
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",233,"$27,117","$43,229","$64,358","$47,511",176,8
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",158,"$28,364","$49,653","$70,131","$51,453",113,9
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",89,"$24,071","$46,008","$63,777","$44,854",61,10
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",42,"$20,492","$45,415","$55,174","$42,372",32,11
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",2,,,,,2,12
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",,,,,,,13
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",,,,,,,14
73,Channel Islands,1,FTF + FTT,20011 + 20013,Psychology,"1,259",,,,,,,15
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,21,"$7,119","$20,764","$25,835","$18,124",17,1
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,5,,,,,4,2
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,1,,,,,1,3
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,,,,,,,4
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,,,,,,,5
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,,,,,,,6
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,,,,,,,7
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,,,,,,,8
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,,,,,,,9
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,,,,,,,10
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,,,,,,,11
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,,,,,,,12
73,Channel Islands,1,FTF + FTT,22021,Anthropology,27,,,,,,,13
